model_id,name,generation,sortino,calmar,cvar95,max_dd,cost,turnover,score,passed
SC_M2,Scalp | Průřezové momentum + carry,1,-1.6445305938108847,-0.41135098334631104,0.0003431349425584171,0.007894396065883713,1.0416666666666666e-05,0.010416666666666666,-0.5529671373421206,False
M7,Potomek B (mutované momentum),2,-1.6445305938108847,-0.41135098334631104,0.0003431349425584171,0.007894396065883713,1.0416666666666666e-05,0.010416666666666666,-0.5529671373421206,False
M10,Stabilizační kotva overlay,2,-1.9024406136676912,-0.3959441552086158,0.0003154605159028875,0.008140311511833254,7.638888888888888e-06,0.007638888888888889,-0.6215993874773682,False
M8,Potomek C (mutovaný meta model),2,-2.2834981916910793,-0.3833691722815885,0.00035365062624759583,0.011921094918798336,1.0763888888888892e-05,0.01076388888888889,-0.7263155094768081,False
M6,Potomek A (mutovaný trend),2,-2.378889815895166,-0.4166039015823637,0.00032536928289279653,0.010570620090446625,1.1574074074074073e-05,0.011574074074074073,-0.7602075434156831,False
SC_M4,Scalp | On-chain + sentimentní vrstva,1,-2.9018534595838257,-0.40816911956404556,0.00032591936736894015,0.014909732279867471,6.655092592592593e-06,0.006655092592592593,-0.9049952759095359,False
M9,Stabilizační kotva MR,2,-3.4141349284985605,-0.42421345311678127,0.0003825153696524128,0.017073873261386208,1.0995370370370372e-05,0.01099537037037037,-1.052624663855087,False
