model_id,name,generation,sortino,calmar,cvar95,max_dd,cost,turnover,score,passed
SC_M4,Scalp | On-chain + sentimentní vrstva,1,-1.1270744680149176,-0.3561177923159474,0.00030902218269264096,0.005586335699915179,6.828703703703704e-06,0.006828703703703704,-0.39531145551122493,False
SC_M2,Scalp | Průřezové momentum + carry,1,-1.6445305938108847,-0.41135098334631104,0.0003431349425584171,0.007894396065883713,1.0416666666666666e-05,0.010416666666666666,-0.5529671373421206,False
M7,Potomek B (mutované momentum),2,-1.6445305938108847,-0.41135098334631104,0.0003431349425584171,0.007894396065883713,1.0416666666666666e-05,0.010416666666666666,-0.5529671373421206,False
M10,Stabilizační kotva overlay,2,-2.2108754850809706,-0.4123855379210621,0.0003171053037758665,0.01101552566570807,8.333333333333335e-06,0.008333333333333335,-0.7120367067131843,False
M6,Potomek A (mutovaný trend),2,-2.378889815895166,-0.4166039015823637,0.00032536928289279653,0.010570620090446625,1.1574074074074073e-05,0.011574074074074073,-0.7602075434156831,False
M8,Potomek C (mutovaný meta model),2,-2.532849496697665,-0.39799630147565496,0.00034576958233202516,0.0122186940498491,1.1805555555555555e-05,0.011805555555555555,-0.799475526091789,False
M9,Stabilizační kotva MR,2,-3.9122998135277545,-0.4238348000615183,0.0003797108395882935,0.019202513630707685,1.2152777777777779e-05,0.012152777777777778,-1.1924177411607302,False
