model_id,name,generation,sortino,calmar,cvar95,max_dd,cost,turnover,score,passed
M5,Meta ansámbl,1,-4.444212301578722,-1.2099042098465806,0.001081683587201106,0.021419957577106352,7.087341272908917e-05,0.07087341272908917,-1.5194288280743813,False
M1,Trend + cílení volatility,1,-6.4555984514245655,-1.2326401190181802,0.0011567275358569185,0.03158605543951354,9.154287976873617e-05,0.09154287976873617,-2.0907112359703404,False
M2,Průřezové momentum + carry,1,-9.529028761319255,-1.2539679116902944,0.0011619361106046438,0.044055023134142446,0.00011440855566299815,0.11440855566299815,-2.959541970788552,False
M3,Swing návrat k průměru,1,-14.491859970114964,-1.2606957672689683,0.001129469106144032,0.06260463911149006,0.0002497298377036296,0.24972983770362955,-4.364045174346139,False
M4,On-chain + sentimentní vrstva,1,-17.350760029420652,-1.2627951666898,0.0005196604500968455,0.0323599727653795,0.0001301158807265385,0.1301158807265385,-5.151073962023906,False
