model_id,name,generation,sortino,calmar,cvar95,max_dd,cost,turnover,score,passed
SC_M2,Scalp | Průřezové momentum + carry,1,-1.638517000335762,-0.41184825937074543,0.0003431349425584171,0.007857763873452162,1.0416666666666666e-05,0.010416666666666666,-0.5513876033875212,False
SC_M4,Scalp | On-chain + sentimentní vrstva,1,-2.071680150437945,-0.39998289434539747,0.00031109992873064654,0.009268271218650037,6.1921296296296294e-06,0.006192129629629629,-0.669916224419728,False
SC_M5,Scalp | Meta ansámbl,1,-2.2686385130091606,-0.38929179031432254,0.0003262985097686319,0.010517129983793283,1.1226851851851852e-05,0.01122685185185185,-0.7232933802745386,False
SC_M1,Scalp | Trend + cílení volatility,1,-2.386136985727193,-0.41707563331265707,0.00032536928289279653,0.010585393612367433,1.1574074074074073e-05,0.011574074074074073,-0.762342600242384,False
SC_M3,Scalp | Swing návrat k průměru,1,-3.5283593129673347,-0.41782684061173625,0.0003812854124662448,0.01775260954286151,1.1342592592592593e-05,0.011342592592592593,-1.0833250509423469,False
